Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_CURA_TestSuite_001,Chrome 120.0.0.0,,,27-01-2024 12:50:55,27-01-2024 13:00:34,9m - 38.985s,PASSED
,,,,,,,
Test Cases/Test Listener-1/TC_AppointmentConfirmation_001,Chrome 120.0.0.0,,,27-01-2024 12:51:35,27-01-2024 13:00:34,8m - 58.227s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,27-01-2024 12:51:36,27-01-2024 12:53:39,2m - 3.283s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,27-01-2024 12:53:39,27-01-2024 12:55:09,1m - 30.574s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,27-01-2024 12:55:09,27-01-2024 12:55:40,30.269s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_visit_date""))",Chrome 120.0.0.0,,,27-01-2024 12:55:40,27-01-2024 12:56:10,30.313s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/td_1""))",Chrome 120.0.0.0,,,27-01-2024 12:56:10,27-01-2024 12:56:40,30.190s,PASSED
"setText(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test Listner"")",Chrome 120.0.0.0,,,27-01-2024 12:56:40,27-01-2024 12:57:41,1m - 0.460s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,27-01-2024 12:57:41,27-01-2024 12:58:13,31.931s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,27-01-2024 12:58:13,27-01-2024 12:58:43,30.259s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 120.0.0.0,,,27-01-2024 12:58:43,27-01-2024 12:59:13,30.399s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,27-01-2024 12:59:13,27-01-2024 13:00:34,1m - 20.331s,FAILED
